Release Date,Filming Locations,original_index,unique_index
25 December 1951 (USA),"Cinecittà Studios, Cinecittà, Rome, Lazio, Italy",6101,5956
4 December 1953 (France),"Corriganville, Ray Corrigan Ranch, Simi Valley, California, USA",6102,5957
31 July 1963 (UK),"Almería, Andalucía, Spain",6103,5958
14 December 1961 (USA),"Sevilla Studios, Madrid, Spain",6104,5959
28 September 1966 (USA),"Dino De Laurentiis Cinematografica Studios, Rome, Lazio, Italy",6105,5960
14 September 1952 (USA),"Main Street, Cong, Co. Mayo, Ireland",6106,5961
21 October 1995 (Japan),"Austin, Texas, USA",6107,5962
24 October 2008 (USA),"Toronto, Ontario, Canada",6108,5963
"Oct 29, 2010 Wide","Toronto, Ontario, Canada",6109,5964
20 June 1970 (Japan),"Brush Hollow Reservoir, Colorado, USA",6110,5965
26 October 2007 (USA),"Toronto, Ontario, Canada",6111,5966
13 December 1972 (USA),"100 Hopkins Street, San Marcos, Texas, USA",6112,5967
13 May 1970 (USA),"Apache Junction, Arizona, USA",6113,5968
31 August 1973 (Hong Kong),"Durango, Mexico",6114,5969
9 April 1971 (USA),"Estudios Roma, Madrid, Spain",6115,5970
14 October 1964 (USA),"Mexican Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6116,5971
10 June 1966 (USA),"Alabama Hills, Lone Pine, California, USA",6117,5972
1 August 1967 (USA),"Kanab, Utah, USA",6118,5973
13 February 1952 (USA),"Columbia River, Oregon, USA",6119,5974
20 September 1968 (West Germany),"El Casar de Talamanca, Guadalajara, Castilla-La Mancha, Spain",6120,5975
23 October 2009 (USA),"Toronto, Ontario, Canada",6121,5976
1 May 1967 (USA),"Lovejoy Buttes, Lancaster, California, USA",6122,5977
"Jan 1, 1971 Wide","Page, Arizona, USA",6123,5978
25 September 1998 (USA),"Humber College - 3199 Lake Shore Blvd, Toronto, Ontario, Canada",6124,5979
19 June 1968 (USA),"85 Mt. Vernon Street, Beacon Hill, Boston, Massachusetts, USA",6125,5980
20 December 1966 (USA),"Taipei City, Taiwan",6126,5981
2 March 1984 (USA),"California, USA",6127,5982
4 June 1993 (USA),"New York, USA",6128,5983
21 October 1988 (USA),"Los Angeles, California, USA",6129,5984
15 March 1991 (USA),"Annapolis, Maryland, USA",6130,5985
8 October 1992 (Germany),"Barstow, California, USA",6131,5986
8 May 1992 (USA),"Hollywood Boulevard, Hollywood, California, USA",6132,5987
21 January 2000 (USA),"New York City, New York, USA",6133,5988
10 September 1993 (USA),"Philadelphia, Pennsylvania, USA",6134,5989
19 March 1982 (USA),"298 Arizona Street, Hollywood, Florida, USA",6135,5990
24 June 1983 (USA),"Fort Lauderdale, Florida, USA",6136,5991
13 June 1986 (USA),"1530 Orange Grove Avenue, Hollywood, Los Angeles, California, USA",6137,5992
10 July 1987 (USA),"Fort Lauderdale-Hollywood International Airport - 320 Terminal Drive, Fort Lauderdale, Florida, USA",6138,5993
7 August 1985 (USA),"Claremont, California, USA",6139,5994
22 March 1985 (USA),"Fort Lauderdale, Florida, USA",6140,5995
24 April 1992 (USA),"Utah, USA",6141,5996
16 August 1991 (USA),"Vancouver, British Columbia, Canada",6142,5997
16 January 2002 (USA),"Staten Island, New York City, New York, USA",6143,5998
5 May 1995 (USA),"New York City, New York, USA",6144,5999
19 February 1982 (USA),"Fairmont Hotel - 950 Mason Street, Nob Hill, San Francisco, California, USA",6145,6000
"Jan 30, 1998 Limited","Astor Place, Manhattan, New York City, New York, USA",6146,6001
19 October 1990 (USA),"Duff;s Reataurant, 392 North Euclid Avenue, St. Louis, Missouri, USA",6147,6002
18 January 1991 (USA),"Haines, Alaska, USA",6148,6003
"Sep 2, 1939 Limited","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",6149,6004
January 1994 (USA),"Los Angeles, California, USA",6150,6005
16 July 1999 (USA),"New York City, New York, USA",6151,6006
9 June 2000 (Poland),"Vancouver, British Columbia, Canada",6152,6007
"Oct 9, 1998 Wide","Cincinnati, Ohio, USA",6153,6008
19 June 1993 (South Korea),,6154,6009
22 March 1991 (USA),,6155,6010
9 April 1988 (Japan),,6156,6011
22 January 1999 (USA),"New York City, New York, USA",6157,4492
19 September 2003 (USA),"Showline Studios, Toronto, Ontario, Canada",6158,6012
"Jan 21, 1994 Wide","Britannia Beach, British Columbia, Canada",6159,6013
18 September 1981 (USA),"Maxwell, Texas, USA",6160,6014
2 October 1985 (USA),"Hagerstown, Maryland, USA",6161,6015
30 October 1987 (USA),"444 S. Flower Street, Downtown, Los Angeles, California, USA",6162,6016
3 February 1983 (Argentina),"Big Oaks Lodge, Saugus, California, USA",6163,6017
29 September 1984 (USA),"Black Hawk County, Iowa, USA",6164,6018
29 January 1987 (Australia),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6165,6019
15 June 1990 (Netherlands),"Baltimore, Maryland, USA",6166,6020
11 November 1988 (USA),"Duluth, Minnesota, USA",6167,6021
19 December 1984 (USA),"Alabama, USA",6168,6022
16 September 1994 (USA),"Alabama, USA",6169,6023
21 August 1981 (Finland),"Eugene, Oregon, USA",6170,6024
23 May 1986 (USA),"1589 Homewood Dr., Altadena, California, USA",6171,6025
22 August 1985 (Argentina),"Atlanta, Georgia, USA",6172,6026
4 September 2003 (Argentina),"Buenos Aires, Federal District, Argentina",6173,6027
20 February 1998 (USA),"Collin County, Texas, USA",6174,6028
"Aug 1, 1985 Wide","Julio Prestes Train Station, São Paulo, Brazil",6175,6029
3 February 1989 (USA),"Baltimore, Maryland, USA",6176,6030
2 March 1979 (USA),"Auburn, Alabama, USA",6177,6031
26 October 1979 (USA),"Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA",6178,6032
5 October 1984 (USA),"Ellis County, Texas, USA",6179,6033
"Dec 4, 1981 Wide","Twickenham Film Studios, St Margarets, Twickenham, Middlesex, England, UK",6180,6034
22 December 2004 (USA),"London, England, UK",6181,6035
26 November 2008 (USA),"Bowen, Queensland, Australia",6182,6036
20 July 2007 (USA),"Lakeview Restaurant, 1132 Dundas Street. W, Toronto, Ontario",6183,6037
5 July 1963 (West Germany),"Sabino Canyon, Tucson, Arizona, USA",6184,6038
10 December 1965 (USA),"Culver City, California, USA",6185,6039
"Nov 7, 1963 Limited","Revue Studios, Hollywood, Los Angeles, California, USA",6186,6040
16 January 1956 (Brazil),"Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA",6187,6041
17 July 1956 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",6188,6042
25 April 1941 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",6189,6043
9 November 1990 (USA),"Chicago, Illinois, USA",6190,6044
6 June 2006 (USA),"Barrandov Studios, Prague, Czech Republic",6191,6045
30 March 2001 (USA),"Santa Clarita, California, USA",6192,6046
17 August 2006 (Hungary),"Los Angeles, California, USA",6193,6047
"Dec 13, 2002 Wide","332 Lorraine Blvd, Los Angeles, California, USA",6194,6048
14 December 2001 (USA),"Rae's Restaurant, 2901 Pico Boulevard, Santa Monica, California, USA",6195,6049
5 March 2003 (USA),"New York City, New York, USA",6196,6050
20 February 2009 (USA),"Calabasas High School - 22855 W. Mulholland Hwy., Calabasas, California, USA",6197,6051
27 October 1955 (USA),"7529 Franklin Avenue, Hollywood, Los Angeles, California, USA",6198,6052
14 June 1974 (USA),"Gorge Dam, Skagit River, Washington, USA",6199,6053
26 March 1999 (USA),,6200,6054
15 July 1983 (USA),"New York City, New York, USA",6201,6055
16 May 1980 (USA),"Church of Saint Mary the Virgin 145 West 46th Street, Manhattan, New York City, New York, USA",6202,6056
6 June 1980 (USA),"2213 Westside Drive, Deer Park, Texas, USA",6203,6057
20 March 1981 (USA),"Brocket Hall, Lemsford, Welwyn Garden City, Hertfordshire, England, UK",6204,6058
9 June 1978 (USA),"James W. Jardine Water Purification Plant, Chicago, Illinois, USA",6205,6059
January 1983 (USA),,6206,6060
16 October 2015 (USA),"Los Angeles, California, USA",6207,6061
20 April 2007 (USA),"Santa Clarita, California, USA",6208,6062
13 October 2014 (USA),Bulgaria,6209,6063
25 October 2011 (USA),"Brandon, Manitoba, Canada",6210,6064
19 February 2016 (USA),"Shreveport, Louisiana, USA",6211,6065
25 March 2015 (Philippines),Panama,6212,6066
5 February 2015 (Kuwait),"Linda Vista Hospital - 610 S. St. Louis Street, Los Angeles, California, USA",6213,6067
20 February 2015 (USA),"Indianapolis, Indiana, USA",6214,6068
"Oct 30, 2009 Wide","Connecticut, USA",6215,6069
6 June 2013 (USA),"Frederick County, Maryland, USA",6216,6070
"Oct 31, 2014 Limited",Lithuania,6217,6071
6 September 2012 (Russia),"2606 N. Madison Avenue, Altadena, California, USA",6218,6072
May 1961 (UK),"Old Bailey, London, England, UK",6219,6073
24 July 2012 (USA),"Los Angeles, California, USA",6220,6074
3 April 2008 (Singapore),"Austin, Texas, USA",6221,6075
11 April 2014 (Poland),"New Orleans, Louisiana, USA",6222,6076
13 December 1956 (USA),"Cathedral of St. Alexander Nevsky - 12 Rue Daru, Paris 8, Paris, France",6223,6077
27 January 2015 (Japan),"Vernazza, Liguria, Italy",6224,6078
29 March 2012 (Russia),"Connecticut, USA",6225,6079
18 September 1942 (USA),,6226,6080
7 June 1946 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6227,6081
12 February 1943 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6228,6082
1 September 1939 (USA),"Stage 2, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",6229,6083
26 October 1945 (USA),"Little Europe, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6230,6084
30 April 1943 (USA),"Glendale Grand Central Air Terminal - Grandview Avenue, Glendale, California, USA",6231,6085
21 January 1944 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6232,6086
27 July 1945 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6233,6087
16 March 1945 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6234,6088
1 August 1944 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6235,6089
26 May 1944 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6236,6090
"Aug 1, 2014 Limited","Los Angeles, California, USA",6237,6091
30 August 2013 (USA),Bulgaria,6238,6092
1 January 2015 (France),,6239,6093
15 April 1965 (USA),"C.E.A. Studios, Madrid, Spain",6240,6094
1 October 1999 (USA),"California, USA",6241,6095
27 July 2001 (USA),USA,6242,6096
25 October 2013 (UK),"Margaretville, New York, USA",6243,6097
25 July 2014 (USA),"Santa Clarita, California, USA",6244,6098
8 July 2013 (USA),"Tennessee, USA",6245,6099
8 May 2014 (USA),"Los Angeles, California, USA",6246,6100
31 July 2009 (USA),"Mobile, Alabama, USA",6247,6101
27 April 2012 (USA),"Novi Sad, Serbia",6248,6102
7 August 2008 (Russia),"Burbank, California, USA",6249,6103
3 January 2014 (USA),Hungary,6250,6104
30 November 2012 (USA),"Los Angeles, California, USA",6251,6105
18 September 2015 (USA),"North Carolina, USA",6252,6106
27 September 2013 (USA),"Evolution Printing, Stanhope Road, Camberley, UK",6253,6107
7 September 1990 (USA),"Los Angeles, California, USA",6254,6108
1 October 2010 (USA),"Hong Kong, China",6255,6109
August 1984 (USA),"Norcross, Georgia, USA",6256,6110
September 1981 (USA),"Park City, Utah, USA",6257,6111
28 August 1987 (USA),"Lakeside, California, USA",6258,6112
24 October 2013 (Russia),"North York General Hospital - Branson Division, Toronto, Ontario, Canada",6259,6113
21 October 2014 (USA),"Riverview, Coquitlam, British Columbia, Canada",6260,6114
9 June 2014 (China),"Winnipeg, Manitoba, Canada",6261,6115
"Jan 1, 1979 Wide","New York City, New York, USA",6262,6116
1 November 2013 (USA),"Big Sur, California, USA",6263,6117
27 August 2010 (Italy),USA,6264,6118
12 December 2010 (Chile),,6265,6119
23 January 1999 (USA),,6266,6120
16 April 1986 (USA),,6267,6121
11 October 2007 (USA),"Brooklyn, New York City, New York, USA",6268,6122
30 April 2004 (UK),,6269,6123
25 June 2013 (USA),,6270,6124
16 January 2009 (USA),"Kittanning, Pennsylvania, USA",6271,6125
9 September 1994 (USA),"San Rafael Ranch State Park, Patagonia, Arizona, USA",6272,6126
14 September 2001 (Italy),"Supino's Restaurant, 250 Newbury St, Danvers, Massachusetts, USA",6273,6127
30 September 1979 (USA),"Brooklyn Heights Promenade, Brooklyn Heights, Brooklyn, New York City, New York, USA",6274,6128
25 March 2010 (Kazakhstan),"Snowbasin, Utah, USA",6275,6129
17 October 2007 (USA),"New York City, New York, USA",6276,6130
13 January 2006 (UK),"Kennett Square, Pennsylvania, USA",6277,6131
22 May 2013 (France),"Bangkok, Thailand",6278,6132
"Apr 25, 2014 Limited","Broadgate, London, England, UK",6279,6133
5 September 2014 (USA),"Albuquerque, New Mexico, USA",6280,6134
26 March 2004 (USA),"Ballarat, Victoria, Australia",6281,6135
5 September 2003 (USA),"Caserta, Campania, Italy",6282,6136
11 May 2001 (USA),"Barrandov Studios, Prague, Czech Republic",6283,6137
6 January 2006 (USA),"Palazzo Soranzo Van Axel - 6099 Sestiere Cannaregio, Venice, Venato, Italy",6284,6138
20 September 2002 (USA),"Bledlow, Buckinghamshire, England, UK",6285,6139
9 January 2015 (USA),"Arrowhead Springs Resort, 24918 Arrowhead Springs Rd, San Bernardino, California, USA",6286,6140
27 February 2015 (USA),"Los Angeles, California, USA",6287,6141
12 June 2008 (Israel),,6288,6142
6 May 2004 (USA),"Mount Vernon, New York, USA",6289,6143
,,6290,48
5 May 2010 (France),"New York City, New York, USA",6291,6144
21 November 1962 (USA),"Hawaii, USA",6292,6145
30 June 1965 (USA),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",6293,6146
September 1969 (USA),,6294,6147
23 October 2015 (USA),"Broadway Tavern - 8 Broadway, Malverne, New York, USA",6295,6148
4 December 1967 (USA),"Van Nuys, Los Angeles, California, USA",6296,6149
25 August 2000 (USA),"Miami, Florida, USA",6297,6150
20 May 1964 (USA),"Henderson, Nevada, USA",6298,6151
21 January 1970 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",6299,6152
22 July 1977 (USA),"Apple Valley, California, USA",6300,6153
4 January 2008 (USA),"191 Peachtree Street, Atlanta, Georgia, USA",6301,6154
9 January 2009 (USA),"Chicago, Illinois, USA",6302,6155
23 May 2008 (UK),Romania,6303,6156
15 July 2008 (USA),"South Carolina, USA",6304,6157
11 September 2009 (USA),"Crafton, Pennsylvania, USA",6305,6158
6 February 2009 (USA),"Lake Shastina, California, USA",6306,6159
13 December 2012 (Kuwait),"Dallas, Texas, USA",6307,6160
3 February 2006 (USA),"Bellarmine-Jefferson High School, Burbank, California, USA",6308,6161
29 January 2010 (Mexico),"Baton Rouge, Louisiana, USA",6309,6162
8 January 2009 (Russia),"Cheyenne Studios - 27567 Fantastic Lane, Castaic, California, USA",6310,6163
9 March 2010 (USA),"Baton Rouge, Louisiana, USA",6311,6164
11 March 2011 (UK),"Albuquerque Studios - 5650 University Boulevard SE, Albuquerque, New Mexico, USA",6312,6165
9 October 2012 (USA),"Vernon, British Columbia, Canada",6313,6166
August 1985 (USA),"Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",6314,6167
1 March 2009 (USA),,6315,383
22 November 1978 (USA),"Connecticut, USA",6316,6168
2010 (USA),,6317,1281
19 January 2014 (Japan),"Sofia, Bulgaria",6318,6169
25 June 2010 (USA),"Los Angeles, California, USA",6319,6170
27 November 2015 (USA),"Shreveport, Louisiana, USA",6320,6171
15 August 2014 (USA),"Cape Town, South Africa",6321,6172
5 September 2014 (UK),"Moriarty, New Mexico, USA",6322,6173
November 2011 (Australia),"England, UK",6323,6174
31 October 2014 (USA),"Blythe House, 23 Blythe Road, West Kensington, London, England, UK",6324,6175
20 April 2013 (USA),"Atlanta, Georgia, USA",6325,6176
18 June 2015 (Taiwan),,6326,6177
26 July 2012 (Russia),"Los Angeles, California, USA",6327,6178
,"Fresno, California, USA",6328,6179
22 August 2014 (USA),"Mobile, Alabama, USA",6329,6180
23 January 2015 (USA),"Pink's Studios, Simanovci, Belgrade, Serbia",6330,6181
28 December 2014 (USA),,6331,6182
8 January 2015 (Denmark),"London, England, UK",6332,6183
27 November 2014 (Kuwait),"La Perla, San Juan, Puerto Rico",6333,6184
29 August 2014 (USA),"Church of St Eustache, Paris 1, Paris, France",6334,6185
23 June 2015 (USA),"Crestline, California, USA",6335,6186
"Apr 3, 2015 Wide","Michigan, USA",6336,6187
23 August 2013 (USA),"Columbia, Missouri, USA",6337,6188
5 April 1937 (USA),"Republic Studios, Hollywood, Los Angeles, California, USA",6338,6189
21 October 2014 (USA),"North Carolina, USA",6339,6190
11 April 2014 (USA),"Mobile, Alabama, USA",6340,6191
1 May 2014 (USA),"Savannah, Georgia, USA",6341,6192
14 March 2014 (USA),,6342,6193
21 February 2014 (USA),"Cinespace Film Studios, Toronto, Ontario, Canada",6343,6194
11 September 2009 (USA),"Boucherville, Québec, Canada",6344,6195
6 March 2015 (USA),"Amsterdam, Noord-Holland, Netherlands",6345,6196
28 November 2013 (Hungary),"Los Angeles, California, USA",6346,6197
26 December 2014 (Australia),"Burra, South Australia, Australia",6347,6198
18 September 1963 (USA),"Alderminster, Stratford-upon-Avon, Warwickshire, England, UK",6348,6199
20 March 2015 (USA),"Polignano a Mare, Bari, Apulia, Italy",6349,6200
7 November 2014 (USA),"Wilmington, North Carolina, USA",6350,6201
17 October 2014 (USA),"Louisiana, USA",6351,6202
23 January 2013 (USA),,6352,6203
November 2014 (USA),"Hudson Valley, New York, USA",6353,6204
5 December 2014 (USA),,6354,5270
15 May 2015 (USA),"Santa Clarita, California, USA",6355,6205
1 May 2014 (Singapore),"Lakeview Drive, GSMNP, Bryson City, North Carolina, USA",6356,6206
14 September 2012 (USA),"Alabama, USA",6357,6207
27 February 2015 (USA),"Santa Clarita, California, USA",6358,6208
10 October 2014 (USA),,6359,6209
3 October 2014 (USA),"Spiderwood Studios, Austin, Texas, USA",6360,6210
1 January 2011 (USA),"Alton, Illinois, USA",6361,6211
,"Eloise Insane Asylum, Westland, Michigan, USA",6362,6212
